"","continuationType","coordination","question_order","ask_first","marginal_probability","conditional_probability_me","conditional_probability_nme","workerid","property1","property2","kind"
"1","fakeDefs","np","forward",TRUE,0.59,0.05,0.39,"5ba03c97fe7e21b64b444f44a0d1e631","is a stup-herder","is a fisherman","Krens"
"2","fakeDefs","np","forward",FALSE,0.25,0.39,0.28,"5ba03c97fe7e21b64b444f44a0d1e631","wears a wutsat around its head","wears a krevnor around its head","reesles"
"3","fakeDefs","pp","reverse",FALSE,0.6,0.55,0.73,"5ba03c97fe7e21b64b444f44a0d1e631","builds nests in gluers","builds nests in droops","fengnor mated pairs"
"4","fakeNames","np","reverse",TRUE,0.55,0.37,0.66,"5ba03c97fe7e21b64b444f44a0d1e631","belongs to the Tinno guild","belongs to the Farza guild","basket weavers"
"5","real","np","forward",FALSE,0.41,0,0.6,"5ba03c97fe7e21b64b444f44a0d1e631","has long wings","has short wings","lorches"
"6","fakeNames","np","forward",FALSE,0.6,0,0.89,"5ba03c97fe7e21b64b444f44a0d1e631","lives in cities","lives in the countryside","Ludinos"
"7","fakeNames","pp","reverse",FALSE,0.34,0.38,0.54,"5ba03c97fe7e21b64b444f44a0d1e631","lives on the continent of Caro","lives on the continent of Este","glippets"
"8","real","np","reverse",TRUE,0.67,0,0.67,"5ba03c97fe7e21b64b444f44a0d1e631","has striped fur","has spotted fur","kaples"
"9","real","pp","forward",FALSE,0.38,0,0.66,"5ba03c97fe7e21b64b444f44a0d1e631","hibernates in fallen logs","hibernates in the abandoned burrows of other animals","vimble queens"
"10","real","np","reverse",FALSE,0.6,0,0.31,"5ba03c97fe7e21b64b444f44a0d1e631","produces fruit with bumpy skin","produces fruit with smooth skin","isooms"
"11","fakeDefs","pp","reverse",TRUE,0.67,0.46,0.8,"5ba03c97fe7e21b64b444f44a0d1e631","carries its young in guklags","carries its young in trullets","oller families"
"12","fakeDefs","vp","forward",TRUE,0.43,0.1,0.69,"5ba03c97fe7e21b64b444f44a0d1e631","floods their fields to plant fujusi","burns their fields to plant soroneeks","farmers in the springtime"
"13","fakeDefs","pp","reverse",TRUE,0.57,0.11,0.33,"5ba03c97fe7e21b64b444f44a0d1e631","chews on xorfun","chews on tunkel","kweps"
"14","real","pp","reverse",FALSE,0.41,0,0.63,"5ba03c97fe7e21b64b444f44a0d1e631","has territory at the tops of tall mountains","has territory at the bottom of deep canyons","mooks"
"15","fakeNames","np","reverse",FALSE,1,0,0.97,"e324aa067998fe012a086c2598a290ea","belongs to the Tinno guild","belongs to the Farza guild","basket weavers"
"16","fakeDefs","pp","reverse",TRUE,0.02,0.2,0.96,"e324aa067998fe012a086c2598a290ea","builds nests in gluers","builds nests in droops","fengnor mated pairs"
"17","fakeDefs","pp","forward",FALSE,0.02,0.45,0.5,"e324aa067998fe012a086c2598a290ea","chews on xorfun","chews on tunkel","kweps"
"18","real","np","reverse",TRUE,0.02,0.18,0.24,"e324aa067998fe012a086c2598a290ea","has striped fur","has spotted fur","kaples"
"19","real","pp","forward",FALSE,0.69,0.02,0.48,"e324aa067998fe012a086c2598a290ea","hibernates in fallen logs","hibernates in the abandoned burrows of other animals","vimble queens"
"20","fakeNames","np","reverse",FALSE,0.52,0,0.99,"e324aa067998fe012a086c2598a290ea","lives in cities","lives in the countryside","Ludinos"
"21","real","pp","reverse",FALSE,0.77,0.03,0.01,"e324aa067998fe012a086c2598a290ea","has territory at the tops of tall mountains","has territory at the bottom of deep canyons","mooks"
"22","fakeDefs","np","reverse",TRUE,0.6,0.01,0.49,"e324aa067998fe012a086c2598a290ea","is a stup-herder","is a fisherman","Krens"
"23","fakeDefs","np","forward",TRUE,0.69,0.5,0.02,"e324aa067998fe012a086c2598a290ea","wears a wutsat around its head","wears a krevnor around its head","reesles"
"24","fakeDefs","vp","forward",TRUE,0.69,0.82,0.76,"e324aa067998fe012a086c2598a290ea","floods their fields to plant fujusi","burns their fields to plant soroneeks","farmers in the springtime"
"25","real","np","forward",FALSE,0.02,0,0.72,"e324aa067998fe012a086c2598a290ea","has long wings","has short wings","lorches"
"26","fakeNames","pp","forward",FALSE,0,0.02,0.5,"e324aa067998fe012a086c2598a290ea","lives on the continent of Caro","lives on the continent of Este","glippets"
"27","real","np","forward",TRUE,0.5,0.01,0,"e324aa067998fe012a086c2598a290ea","produces fruit with bumpy skin","produces fruit with smooth skin","isooms"
"28","fakeDefs","pp","reverse",FALSE,1,0.53,0.94,"e324aa067998fe012a086c2598a290ea","carries its young in guklags","carries its young in trullets","oller families"
"29","fakeDefs","np","reverse",FALSE,0.32,0.71,0.02,"65d2ee5cd5c209d4bc7b9184f03cb847","is a stup-herder","is a fisherman","Krens"
"30","real","pp","reverse",FALSE,0.27,0,0.83,"65d2ee5cd5c209d4bc7b9184f03cb847","has territory at the tops of tall mountains","has territory at the bottom of deep canyons","mooks"
"31","real","np","reverse",TRUE,0.51,0,0.71,"65d2ee5cd5c209d4bc7b9184f03cb847","has long wings","has short wings","lorches"
"32","real","np","reverse",FALSE,0.19,0,0.45,"65d2ee5cd5c209d4bc7b9184f03cb847","has striped fur","has spotted fur","kaples"
"33","fakeNames","np","forward",TRUE,0.33,0,0.64,"65d2ee5cd5c209d4bc7b9184f03cb847","belongs to the Tinno guild","belongs to the Farza guild","basket weavers"
"34","fakeDefs","pp","forward",TRUE,0.27,0,0.91,"65d2ee5cd5c209d4bc7b9184f03cb847","builds nests in gluers","builds nests in droops","fengnor mated pairs"
"35","fakeDefs","pp","forward",FALSE,0.41,0,0.81,"65d2ee5cd5c209d4bc7b9184f03cb847","carries its young in guklags","carries its young in trullets","oller families"
"36","real","pp","forward",TRUE,0.37,0,0.52,"65d2ee5cd5c209d4bc7b9184f03cb847","hibernates in fallen logs","hibernates in the abandoned burrows of other animals","vimble queens"
"37","fakeDefs","vp","reverse",TRUE,0.85,0.17,0.33,"65d2ee5cd5c209d4bc7b9184f03cb847","floods their fields to plant fujusi","burns their fields to plant soroneeks","farmers in the springtime"
"38","fakeDefs","pp","forward",FALSE,0.18,0.15,0.08,"65d2ee5cd5c209d4bc7b9184f03cb847","chews on xorfun","chews on tunkel","kweps"
"39","fakeNames","pp","reverse",TRUE,0.34,0.32,0.22,"65d2ee5cd5c209d4bc7b9184f03cb847","lives on the continent of Caro","lives on the continent of Este","glippets"
"40","fakeNames","np","forward",TRUE,0.2,0,0.17,"65d2ee5cd5c209d4bc7b9184f03cb847","ascribes to the Caboo religion","ascribes to the Daith religion","Ludinos"
"41","fakeDefs","np","forward",FALSE,0.3,0,0.25,"65d2ee5cd5c209d4bc7b9184f03cb847","wears a wutsat around its head","wears a krevnor around its head","reesles"
"42","real","np","reverse",TRUE,0.23,0,0.38,"65d2ee5cd5c209d4bc7b9184f03cb847","produces fruit with bumpy skin","produces fruit with smooth skin","isooms"
"43","fakeDefs","np","reverse",FALSE,0.09,0,0.04,"9ca781493b7c852e96a7e5d900dd7d82","is a stup-herder","is a fisherman","Krens"
